Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8491116k free), swap 19208636k(3951692k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:24:00.178+0800: 2.236: [Full GC (Ergonomics) [PSYoungGen: 131584K->7132K(153088K)] [ParOldGen: 349312K->349398K(349696K)] 480896K->356531K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0425666 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.235+0800: 2.293: [Full GC (Ergonomics) [PSYoungGen: 131553K->10013K(153088K)] [ParOldGen: 349398K->349086K(349696K)] 480951K->359099K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0427421 secs] [Times: user=0.34 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.290+0800: 2.347: [Full GC (Ergonomics) [PSYoungGen: 131584K->11802K(153088K)] [ParOldGen: 349086K->349440K(349696K)] 480670K->361243K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0422903 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.343+0800: 2.401: [Full GC (Ergonomics) [PSYoungGen: 131554K->15518K(153088K)] [ParOldGen: 349440K->349427K(349696K)] 480995K->364946K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0392990 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.393+0800: 2.451: [Full GC (Ergonomics) [PSYoungGen: 131584K->14215K(153088K)] [ParOldGen: 349427K->349679K(349696K)] 481011K->363895K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0404799 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.444+0800: 2.502: [Full GC (Ergonomics) [PSYoungGen: 131584K->17331K(153088K)] [ParOldGen: 349679K->349400K(349696K)] 481263K->366732K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0392796 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.495+0800: 2.553: [Full GC (Ergonomics) [PSYoungGen: 131584K->18081K(153088K)] [ParOldGen: 349400K->349240K(349696K)] 480984K->367322K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0414648 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.547+0800: 2.605: [Full GC (Ergonomics) [PSYoungGen: 131584K->19914K(153088K)] [ParOldGen: 349240K->349372K(349696K)] 480824K->369286K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0392508 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.597+0800: 2.655: [Full GC (Ergonomics) [PSYoungGen: 131472K->20697K(153088K)] [ParOldGen: 349372K->349284K(349696K)] 480845K->369981K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0395532 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
2022-01-17T00:24:00.647+0800: 2.705: [Full GC (Ergonomics) [PSYoungGen: 131584K->17641K(153088K)] [ParOldGen: 349284K->349516K(349696K)] 480868K->367158K(502784K), [Metaspace: 2702K->2702K(1056768K)], 0.0398337 secs] [Times: user=0.47 sys=0.00, real=0.04 secs] 
