Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8499768k free), swap 19208636k(3937772k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2022-01-17T02:06:13.374+0800: 6.310: [GC (Allocation Failure) 2022-01-17T02:06:13.374+0800: 6.311: [DefNew: 1258303K->139776K(1258304K), 0.0340489 secs] 2500488K->1538238K(4054528K), 0.0341070 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:13.505+0800: 6.442: [GC (Allocation Failure) 2022-01-17T02:06:13.505+0800: 6.442: [DefNew: 1258304K->139775K(1258304K), 0.0348714 secs] 2656766K->1701399K(4054528K), 0.0349322 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:13.637+0800: 6.574: [GC (Allocation Failure) 2022-01-17T02:06:13.637+0800: 6.574: [DefNew: 1258303K->139775K(1258304K), 0.0341110 secs] 2819927K->1856587K(4054528K), 0.0341636 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:13.769+0800: 6.706: [GC (Allocation Failure) 2022-01-17T02:06:13.769+0800: 6.706: [DefNew: 1258303K->139776K(1258304K), 0.0330253 secs] 2975115K->2001686K(4054528K), 0.0330921 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:13.901+0800: 6.837: [GC (Allocation Failure) 2022-01-17T02:06:13.901+0800: 6.837: [DefNew: 1258304K->139775K(1258304K), 0.0346128 secs] 3120214K->2157482K(4054528K), 0.0346757 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:14.033+0800: 6.970: [GC (Allocation Failure) 2022-01-17T02:06:14.033+0800: 6.970: [DefNew: 1258303K->139776K(1258304K), 0.0340887 secs] 3276010K->2305935K(4054528K), 0.0341545 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:14.166+0800: 7.103: [GC (Allocation Failure) 2022-01-17T02:06:14.166+0800: 7.103: [DefNew: 1258304K->139775K(1258304K), 0.0352588 secs] 3424463K->2469655K(4054528K), 0.0353209 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:14.299+0800: 7.235: [GC (Allocation Failure) 2022-01-17T02:06:14.299+0800: 7.235: [DefNew: 1258303K->139776K(1258304K), 0.0340214 secs] 3588183K->2622599K(4054528K), 0.0340853 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:14.429+0800: 7.365: [GC (Allocation Failure) 2022-01-17T02:06:14.429+0800: 7.366: [DefNew: 1258304K->139776K(1258304K), 0.0355817 secs] 3741127K->2782854K(4054528K), 0.0356455 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:14.564+0800: 7.501: [GC (Allocation Failure) 2022-01-17T02:06:14.564+0800: 7.501: [DefNew: 1258304K->1258304K(1258304K), 0.0000134 secs]2022-01-17T02:06:14.564+0800: 7.501: [Tenured: 2643078K->485171K(2796224K), 0.0466738 secs] 3901382K->485171K(4054528K), [Metaspace: 2709K->2709K(1056768K)], 0.0467640 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2022-01-17T02:06:14.710+0800: 7.646: [GC (Allocation Failure) 2022-01-17T02:06:14.710+0800: 7.646: [DefNew: 1118528K->139775K(1258304K), 0.0281565 secs] 1603699K->723322K(4054528K), 0.0282195 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:14.836+0800: 7.773: [GC (Allocation Failure) 2022-01-17T02:06:14.836+0800: 7.773: [DefNew: 1258303K->139775K(1258304K), 0.0339300 secs] 1841850K->877615K(4054528K), 0.0339890 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:14.970+0800: 7.907: [GC (Allocation Failure) 2022-01-17T02:06:14.970+0800: 7.907: [DefNew: 1258303K->139775K(1258304K), 0.0349620 secs] 1996143K->1039539K(4054528K), 0.0350297 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:15.109+0800: 8.045: [GC (Allocation Failure) 2022-01-17T02:06:15.109+0800: 8.045: [DefNew: 1258303K->139776K(1258304K), 0.0339491 secs] 2158067K->1192524K(4054528K), 0.0340089 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:15.242+0800: 8.178: [GC (Allocation Failure) 2022-01-17T02:06:15.242+0800: 8.178: [DefNew: 1258304K->139775K(1258304K), 0.0344448 secs] 2311052K->1349084K(4054528K), 0.0345062 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:15.373+0800: 8.310: [GC (Allocation Failure) 2022-01-17T02:06:15.373+0800: 8.310: [DefNew: 1258303K->139776K(1258304K), 0.0347646 secs] 2467612K->1512724K(4054528K), 0.0348191 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:15.505+0800: 8.441: [GC (Allocation Failure) 2022-01-17T02:06:15.505+0800: 8.441: [DefNew: 1258304K->139775K(1258304K), 0.0343301 secs] 2631252K->1668664K(4054528K), 0.0344010 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:15.635+0800: 8.571: [GC (Allocation Failure) 2022-01-17T02:06:15.635+0800: 8.571: [DefNew: 1258303K->139775K(1258304K), 0.0349579 secs] 2787192K->1830842K(4054528K), 0.0350186 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:15.772+0800: 8.709: [GC (Allocation Failure) 2022-01-17T02:06:15.772+0800: 8.709: [DefNew: 1258303K->139775K(1258304K), 0.0337005 secs] 2949370K->1982054K(4054528K), 0.0337698 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:15.902+0800: 8.839: [GC (Allocation Failure) 2022-01-17T02:06:15.902+0800: 8.839: [DefNew: 1258303K->139775K(1258304K), 0.0353999 secs] 3100582K->2144711K(4054528K), 0.0354792 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:16.040+0800: 8.977: [GC (Allocation Failure) 2022-01-17T02:06:16.040+0800: 8.977: [DefNew: 1258303K->139775K(1258304K), 0.0370484 secs] 3263239K->2308145K(4054528K), 0.0371173 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:16.177+0800: 9.113: [GC (Allocation Failure) 2022-01-17T02:06:16.177+0800: 9.113: [DefNew: 1258303K->139775K(1258304K), 0.0334438 secs] 3426673K->2456679K(4054528K), 0.0335124 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:16.309+0800: 9.246: [GC (Allocation Failure) 2022-01-17T02:06:16.309+0800: 9.246: [DefNew: 1258303K->139775K(1258304K), 0.0348666 secs] 3575207K->2619046K(4054528K), 0.0349162 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:16.440+0800: 9.376: [GC (Allocation Failure) 2022-01-17T02:06:16.440+0800: 9.376: [DefNew: 1258303K->139776K(1258304K), 0.0337454 secs] 3737574K->2771622K(4054528K), 0.0338087 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:16.570+0800: 9.507: [GC (Allocation Failure) 2022-01-17T02:06:16.570+0800: 9.507: [DefNew: 1258304K->1258304K(1258304K), 0.0000188 secs]2022-01-17T02:06:16.570+0800: 9.507: [Tenured: 2631846K->371779K(2796224K), 0.0467200 secs] 3890150K->371779K(4054528K), [Metaspace: 2709K->2709K(1056768K)], 0.0468719 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2022-01-17T02:06:16.716+0800: 9.653: [GC (Allocation Failure) 2022-01-17T02:06:16.716+0800: 9.653: [DefNew: 1118528K->139776K(1258304K), 0.0284245 secs] 1490307K->613375K(4054528K), 0.0284998 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:16.844+0800: 9.781: [GC (Allocation Failure) 2022-01-17T02:06:16.844+0800: 9.781: [DefNew: 1258304K->139775K(1258304K), 0.0339470 secs] 1731903K->770554K(4054528K), 0.0340106 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:16.978+0800: 9.915: [GC (Allocation Failure) 2022-01-17T02:06:16.978+0800: 9.915: [DefNew: 1258303K->139775K(1258304K), 0.0339447 secs] 1889082K->922678K(4054528K), 0.0340064 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.111+0800: 10.048: [GC (Allocation Failure) 2022-01-17T02:06:17.111+0800: 10.048: [DefNew: 1258303K->139776K(1258304K), 0.0338298 secs] 2041206K->1075456K(4054528K), 0.0338957 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.246+0800: 10.182: [GC (Allocation Failure) 2022-01-17T02:06:17.246+0800: 10.182: [DefNew: 1258304K->139775K(1258304K), 0.0328494 secs] 2193984K->1215925K(4054528K), 0.0329098 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.376+0800: 10.313: [GC (Allocation Failure) 2022-01-17T02:06:17.376+0800: 10.313: [DefNew: 1258303K->139775K(1258304K), 0.0353122 secs] 2334453K->1385124K(4054528K), 0.0353732 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:17.512+0800: 10.448: [GC (Allocation Failure) 2022-01-17T02:06:17.512+0800: 10.448: [DefNew: 1258303K->139775K(1258304K), 0.0348510 secs] 2503652K->1546727K(4054528K), 0.0349128 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.645+0800: 10.582: [GC (Allocation Failure) 2022-01-17T02:06:17.645+0800: 10.582: [DefNew: 1258303K->139775K(1258304K), 0.0324401 secs] 2665255K->1686220K(4054528K), 0.0325622 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.778+0800: 10.715: [GC (Allocation Failure) 2022-01-17T02:06:17.778+0800: 10.715: [DefNew: 1258303K->139776K(1258304K), 0.0333932 secs] 2804748K->1835394K(4054528K), 0.0334541 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:17.908+0800: 10.845: [GC (Allocation Failure) 2022-01-17T02:06:17.909+0800: 10.845: [DefNew: 1258304K->139775K(1258304K), 0.0328763 secs] 2953922K->1978461K(4054528K), 0.0329407 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:18.039+0800: 10.976: [GC (Allocation Failure) 2022-01-17T02:06:18.039+0800: 10.976: [DefNew: 1258303K->139775K(1258304K), 0.0352446 secs] 3096989K->2143760K(4054528K), 0.0353059 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:18.179+0800: 11.115: [GC (Allocation Failure) 2022-01-17T02:06:18.179+0800: 11.115: [DefNew: 1258303K->139775K(1258304K), 0.0381643 secs] 3262288K->2283961K(4054528K), 0.0382151 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:18.325+0800: 11.261: [GC (Allocation Failure) 2022-01-17T02:06:18.325+0800: 11.261: [DefNew: 1258303K->139775K(1258304K), 0.0383274 secs] 3402489K->2428842K(4054528K), 0.0383811 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:18.463+0800: 11.400: [GC (Allocation Failure) 2022-01-17T02:06:18.463+0800: 11.400: [DefNew: 1258303K->139775K(1258304K), 0.0346814 secs] 3547370K->2581970K(4054528K), 0.0347402 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2022-01-17T02:06:18.599+0800: 11.535: [GC (Allocation Failure) 2022-01-17T02:06:18.599+0800: 11.536: [DefNew: 1258303K->139775K(1258304K), 0.0344518 secs] 3700498K->2739181K(4054528K), 0.0345198 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2022-01-17T02:06:18.731+0800: 11.668: [GC (Allocation Failure) 2022-01-17T02:06:18.732+0800: 11.668: [DefNew: 1258303K->139776K(1258304K), 0.0423130 secs] 3857709K->2898446K(4054528K), 0.0423844 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
